省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,鼓楼外大街,11-30 00:00,Ⅰ,6.0,8.41,11.89,491.3,2.7,1.80,0.025,0.017,3.82,*,*,正常
北京市,海河流域,广北滨河路(桥）,11-30 00:00,Ⅰ,4.6,8.22,12.19,1014.0,10.2,1.98,0.025,0.020,7.67,*,*,正常
北京市,海河流域,沙窝,11-30 00:00,Ⅱ,9.0,7.81,11.02,924.4,8.6,3.63,0.117,0.064,9.64,*,*,正常
北京市,海河流域,新八里桥,11-30 00:00,Ⅲ,9.6,7.81,11.12,867.4,1.0,5.14,0.044,0.080,13.11,*,*,正常
北京市,海河流域,大红门闸上,11-30 00:00,Ⅲ,10.9,7.99,10.07,1295.9,2.2,2.15,0.058,0.104,11.81,*,*,正常
北京市,海河流域,南大荒桥,11-30 00:00,Ⅲ,4.5,8.61,11.50,1356.8,3.8,4.14,0.025,0.022,0.84,*,*,正常
北京市,海河流域,清河闸,11-30 00:00,Ⅲ,8.8,7.57,10.64,989.9,8.0,2.30,0.025,0.112,13.21,*,*,正常
北京市,海河流域,花园路,11-30 00:00,Ⅱ,10.3,7.84,11.89,922.1,1.6,2.01,0.031,0.065,10.10,*,*,正常
北京市,海河流域,白石桥,11-30 00:00,Ⅱ,7.6,7.72,10.96,501.7,1.4,1.85,0.217,0.035,4.17,*,*,正常
北京市,海河流域,八间房漫水桥,11-30 00:00,Ⅳ,2.3,8.59,14.26,1285.8,4.4,6.30,0.025,0.063,5.23,*,*,正常
北京市,海河流域,码头,11-30 00:00,Ⅱ,4.2,8.11,12.04,1302.1,12.2,3.12,0.025,0.056,5.71,*,*,正常
北京市,海河流域,罗庄,11-30 00:00,Ⅲ,4.0,8.56,12.24,1288.2,46.1,3.97,0.037,0.116,9.97,*,*,正常
北京市,海河流域,小屯桥,11-30 00:00,Ⅱ,2.0,8.98,13.56,1318.9,6.1,3.35,0.041,0.081,9.32,*,*,正常
北京市,海河流域,怀柔水库,11-30 00:00,Ⅰ,4.3,8.42,11.02,345.7,3.0,1.63,0.025,0.005,0.82,*,*,正常
北京市,海河流域,密云水库,11-30 00:00,Ⅱ,8.2,8.13,9.47,441.6,4.3,2.15,0.025,0.005,1.86,*,*,正常
北京市,海河流域,大关桥, ,,--,--,--,--,--,--,--,--,--,*,*,维护
北京市,海河流域,辛庄桥,11-30 00:00,Ⅰ,1.5,8.15,12.28,722.0,1.1,1.00,0.025,0.005,7.99,*,*,正常
北京市,海河流域,谷家营,11-30 00:00,Ⅲ,2.7,8.15,9.39,722.7,9.0,2.71,0.613,0.037,2.91,*,*,正常
北京市,海河流域,后城,11-30 00:00,Ⅰ,4.8,7.60,9.03,677.0,2.2,0.82,0.025,0.005,10.67,*,*,正常
天津市,海河流域,三岔口,11-30 00:00,Ⅱ,8.4,7.82,7.81,591.5,9.0,2.40,0.326,0.041,1.75,*,*,正常
天津市,海河流域,北洋桥,11-30 00:00,Ⅱ,7.6,7.94,8.94,607.4,7.7,2.88,0.238,0.028,1.55,*,*,正常
天津市,海河流域,井冈山桥,11-30 00:00,Ⅲ,5.9,7.97,9.55,801.0,7.4,5.25,0.284,0.090,1.61,*,*,正常
天津市,海河流域,大红桥,11-30 00:00,Ⅱ,7.4,8.01,7.81,747.9,3.6,2.20,0.296,0.018,1.19,*,*,正常
天津市,海河流域,曹庄子泵站,11-30 00:00,Ⅰ,12.7,8.20,11.21,292.7,1.4,1.11,0.056,0.005,1.21,*,*,正常
天津市,海河流域,生产圈闸,11-30 00:00,Ⅱ,8.3,7.97,8.38,1018.3,11.9,3.62,0.267,0.060,2.40,*,*,正常
天津市,海河流域,土门楼,11-30 00:00,Ⅱ,6.4,8.77,12.25,1103.0,14.9,1.11,0.025,0.066,--,*,*,维护
天津市,海河流域,尔王庄泵站,11-30 00:00,Ⅰ,9.0,8.08,10.53,307.2,5.9,1.26,0.038,0.005,1.02,*,*,正常
天津市,海河流域,大套桥,11-29 20:00,Ⅲ,6.2,8.30,10.46,927.2,12.4,4.36,0.025,0.043,6.75,*,*,正常
天津市,海河流域,黄白桥,11-30 00:00,Ⅲ,6.0,8.31,8.61,1165.3,19.9,4.04,0.399,0.087,2.34,*,*,正常
天津市,海河流域,塘汉公路桥,11-30 00:00,Ⅳ,9.5,8.06,7.33,1853.3,35.5,5.20,1.063,0.145,4.28,*,*,正常
天津市,海河流域,海河大闸,11-30 00:00,Ⅳ,9.2,8.70,9.70,10887.1,17.6,7.42,0.539,0.133,1.74,*,*,正常
天津市,海河流域,北排水河防潮闸,11-30 00:00,Ⅲ,4.6,8.29,11.46,2120.1,97.9,4.32,0.159,0.083,2.21,*,*,正常
天津市,海河流域,沧浪渠出境,11-30 00:00,Ⅴ,5.7,8.23,8.92,17738.0,106.2,12.88,0.649,0.201,2.52,*,*,正常
天津市,海河流域,万家码头,11-30 00:00,Ⅳ,8.3,8.27,9.38,2375.3,21.3,6.40,0.150,0.080,1.10,*,*,正常
天津市,海河流域,蓟运河防潮闸,11-30 00:00,Ⅲ,7.5,8.03,8.72,1576.4,8.7,5.65,0.056,0.063,3.23,*,*,正常
天津市,海河流域,青静黄防潮闸,11-30 00:00,Ⅳ,9.6,8.59,9.92,8183.4,18.8,9.13,0.261,0.098,2.40,*,*,正常
天津市,海河流域,马棚口防潮闸,11-30 00:00,Ⅱ,10.6,8.40,10.31,1878.9,24.1,3.30,0.058,0.062,4.33,*,*,正常
天津市,海河流域,阎辛庄,11-30 00:00,Ⅱ,12.6,8.27,9.31,1470.5,25.7,3.18,0.070,0.059,4.38,*,*,正常
天津市,海河流域,于桥水库出口,11-30 00:00,Ⅱ,6.6,8.11,10.15,575.0,3.5,2.65,0.480,0.005,2.55,*,*,正常
天津市,海河流域,黎河桥, ,,--,--,--,--,--,--,--,--,--,*,*,维护
天津市,海河流域,沙河桥,11-30 00:00,Ⅱ,7.8,7.82,10.63,873.8,3.9,1.13,0.081,0.040,11.93,*,*,正常
天津市,海河流域,果河桥,11-30 00:00,Ⅱ,7.4,8.07,11.09,746.8,2.7,1.77,0.038,0.021,8.20,*,*,正常
天津市,海河流域,西屯桥,11-30 00:00,Ⅲ,3.5,8.33,12.71,582.5,12.4,4.26,0.108,0.042,2.27,*,*,正常
河北省,海河流域,岗南水库,05-06 16:00,,18.5,8.67,9.63,571.7,2.2,2.36,0.036,--,--,*,*,维护
河北省,海河流域,下槐镇,11-30 00:00,,6.3,8.44,11.49,653.7,40.4,--,0.025,--,5.12,*,*,维护
河北省,海河流域,地都,11-30 00:00,Ⅱ,12.6,8.47,9.91,1450.0,20.0,0.74,0.098,0.034,--,*,*,维护
河北省,海河流域,平山桥,11-30 00:00,Ⅰ,8.4,8.58,11.93,1160.6,13.7,0.56,0.025,0.018,6.92,*,*,正常
河北省,海河流域,兆通,11-30 00:00,Ⅰ,11.2,8.65,10.78,262.0,1.6,1.10,0.025,0.011,1.01,*,*,正常
河北省,海河流域,大石桥,11-30 00:00,劣Ⅴ,11.9,9.22,6.80,1427.2,12.3,4.73,0.731,0.215,13.26,*,*,正常
