城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,Reconstruction Error,Anomaly,SHAP_水温,SHAP_pH,SHAP_溶解氧,SHAP_高锰酸钾,SHAP_氨氮,SHAP_总磷,SHAP_总氮,SHAP_电导率,SHAP_浊度
杭州市,钱塘江,浙闽片河流,闸口,2021/2/2 0:00,Ⅲ,11.5,8.06,10.51,1.42,0.12,0.313,0.55,231.8,73.4,6.432224,True,0.02383910513504996,0.3134240986055879,0.050033110983812516,0.0068533853254479265,-0.034437447756773466,5.083169783381541,0.3497989936582379,-0.02305450766330506,-0.011019077177139458
杭州市,钱塘江,浙闽片河流,闸口,2021/2/3 0:00,Ⅳ,11.5,8.1,10.47,1.53,0.22,0.344,0.54,231.5,109.3,7.729999,True,-0.0026218833604672717,0.39096638314991083,0.17188979346375177,0.03315506137381417,-0.011222179760809256,6.047969898107456,0.5592822455992594,0.00908969519501952,0.037184021087072416
杭州市,钱塘江,浙闽片河流,闸口,2021/2/3 4:00,Ⅴ,11.3,8.14,10.61,1.56,0.22,0.316,0.58,218.8,95.1,6.4327564,True,0.021980520265244774,0.42031766658009,0.12848294279127498,0.007270144944545163,0.038497196314494844,5.094227968736291,0.41177397868359716,0.00587041688401491,0.02144484903899979
杭州市,钱塘江,浙闽片河流,闸口,2021/2/27 8:00,Ⅴ,13.56,8.02,9.713,1.719,0.2,0.3863,1.159,451.4,125.6,8.235489,True,-0.02307657152963877,0.2897793857461366,0.2502325410001662,0.09517955377717759,-0.14471005775025259,6.5726036331872075,0.5081611881608644,-0.2513666620565657,0.05775694479110527
杭州市,钱塘江,浙闽片河流,闸口,2021/2/27 12:00,Ⅴ,13.59,8.03,9.642,1.686,0.22,0.3425,1.153,452.5,107.2,5.663677,True,-0.049086892576496254,0.24433868998056504,0.13775589241416558,0.017666166457700812,-0.1156902985167193,5.334518585022229,0.3295021180073044,-0.16943916245806362,0.015451056641509808
杭州市,钱塘江,浙闽片河流,闸口,2021/2/27 16:00,Ⅴ,13.53,8.03,9.722,1.676,0.22,0.3225,0.944,348.3,112.7,6.284842,True,-0.0754842272819674,0.2522931670589708,0.07273337615106604,-0.026438082654954707,-0.07418725370138145,4.875841463255825,0.31581689593007756,-0.11603237214655159,-0.00035601238351734565
杭州市,钱塘江,浙闽片河流,闸口,2021/2/28 0:00,Ⅴ,13.43,7.99,9.472,1.719,0.22,0.3506,1.024,1348.6,103.5,5.466219,True,-0.08179405636855715,0.2087916217774398,0.3087654801309604,0.20269539236714718,-0.03208156733634945,4.892349953536909,0.6362601977565125,1.449635629829147,0.05624416169573454
杭州市,钱塘江,浙闽片河流,闸口,2021/2/28 8:00,Ⅴ,13.49,8.0,9.469,1.703,0.21,0.3408,1.037,1015.4,100.5,6.6568007,True,-0.08953334622818704,0.1368447999196831,0.1496135188931024,0.0696535674060449,-0.0941406181734053,4.828633005299851,0.45056999264490344,0.5706984900633015,0.015902510375172874
杭州市,钱塘江,浙闽片河流,闸口,2021/2/28 12:00,Ⅳ,13.51,7.99,9.466,1.573,0.21,0.2913,1.18,1079.3,84.0,5.2880545,True,-0.12601346343922762,0.10497687357851374,0.0828077408389236,0.019229477707275948,-0.0875923486453364,3.418676586863851,0.23612852395345452,1.0006341255510298,-0.027633069657724718
杭州市,钱塘江,浙闽片河流,闸口,2021/2/28 20:00,Ⅴ,13.53,8.0,9.483,1.751,0.25,0.3702,0.769,1138.1,107.3,7.3052235,True,-0.09322138931016384,0.12034828696262984,0.2066895611762478,0.10402549958046566,-0.19920290207428892,5.399932277950007,0.7735928746491366,0.6362308366586008,0.008801247013837887
杭州市,钱塘江,浙闽片河流,闸口,2021/3/1 12:00,Ⅴ,13.58,7.96,9.73,1.605,0.11,0.3202,1.402,48.5,36.6,6.2739463,True,0.012224737157353229,0.2613044793772364,0.0381974015235028,0.009578925389774265,-0.0015750935417917838,5.30776410009598,0.08185661517761417,0.2171583426680703,0.0011142978812923587
杭州市,钱塘江,浙闽片河流,闸口,2021/3/1 20:00,Ⅳ,13.53,8.03,9.786,3.195,0.17,0.2906,0.958,1091.4,144.7,5.0135026,True,-0.12546603104727552,0.06652373391032397,0.13932787349779124,-0.006551383817975881,-0.05819215316788462,3.2906661786044884,0.3427817791164834,1.003326605799605,-0.11591323097389772
杭州市,钱塘江,浙闽片河流,闸口,2021/4/5 8:00,Ⅲ,18.09,7.24,7.653,1.837,0.94,0.066,2.377,215.5,16.3,5.6103797,True,-0.11035525300711446,-0.26780915239981773,-0.4338518947949388,-0.19372152637848986,3.0144564486661194,-0.2988218983398498,-0.31216008086876607,-0.12650007049574277,-0.11880025902297309
