AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,has_outliers
101.0,76.0,68.0,116.0,98.0,15.0,15.0,61.0,53.0,19.0,86.0,38.0,72.0,1.15,0.95,False
173.0,131.0,97.0,157.0,112.0,9.0,11.0,120.0,79.0,9.0,121.0,41.0,85.0,1.59,1.03,False
201.0,151.0,128.0,163.0,126.0,9.0,10.0,77.0,63.0,6.0,78.0,29.0,65.0,1.62,1.04,False
63.0,45.0,44.0,73.0,76.0,9.0,9.0,50.0,48.0,31.0,98.0,54.0,78.0,0.99,1.03,False
76.0,56.0,45.0,95.0,75.0,5.0,6.0,57.0,39.0,19.0,108.0,39.0,87.0,1.07,0.83,False
84.0,62.0,52.0,114.0,93.0,8.0,8.0,54.0,44.0,24.0,113.0,58.0,96.0,0.93,0.78,False
65.0,47.0,46.0,76.0,78.0,9.0,11.0,53.0,58.0,27.0,103.0,55.0,80.0,0.86,0.93,False
79.0,58.0,56.0,78.0,83.0,4.0,5.0,58.0,54.0,7.0,90.0,37.0,72.0,1.2,0.9,False
109.0,82.0,65.0,120.0,104.0,7.0,11.0,83.0,86.0,15.0,92.0,40.0,61.0,1.45,1.2,False
84.0,62.0,50.0,103.0,81.0,12.0,11.0,81.0,53.0,15.0,103.0,50.0,80.0,1.07,0.9,False
84.0,62.0,51.0,99.0,80.0,4.0,6.0,59.0,41.0,10.0,105.0,40.0,79.0,1.09,0.83,False
44.0,29.0,35.0,44.0,55.0,9.0,14.0,23.0,34.0,54.0,108.0,71.0,89.0,0.78,0.8,False
37.0,25.0,32.0,37.0,44.0,8.0,10.0,34.0,29.0,8.0,36.0,15.0,27.0,0.91,0.86,False
46.0,32.0,26.0,43.0,41.0,5.0,4.0,5.0,4.0,111.0,129.0,114.0,121.0,0.64,0.6,True
99.0,74.0,70.0,100.0,92.0,9.0,11.0,53.0,41.0,14.0,76.0,33.0,59.0,0.99,0.92,False
125.0,95.0,70.0,115.0,85.0,5.0,5.0,58.0,36.0,27.0,91.0,56.0,78.0,1.02,0.82,False
68.0,49.0,29.0,74.0,45.0,13.0,10.0,32.0,22.0,29.0,90.0,51.0,80.0,0.76,0.68,False
47.0,24.0,19.0,47.0,33.0,10.0,9.0,38.0,26.0,17.0,76.0,44.0,67.0,0.69,0.66,False
27.0,13.0,8.0,27.0,15.0,5.0,5.0,31.0,16.0,48.0,84.0,65.0,79.0,0.8,0.63,False
176.0,133.0,86.0,127.0,91.0,10.0,10.0,55.0,42.0,24.0,94.0,46.0,77.0,1.22,1.05,False
93.0,69.0,80.0,127.0,141.0,22.0,29.0,85.0,83.0,5.0,53.0,11.0,31.0,1.82,2.35,True
61.0,41.0,50.0,72.0,80.0,18.0,25.0,58.0,54.0,13.0,76.0,20.0,48.0,1.57,1.77,True
70.0,43.0,61.0,89.0,101.0,18.0,21.0,64.0,54.0,16.0,82.0,42.0,70.0,1.1,1.33,False
143.0,109.0,122.0,164.0,199.0,7.0,6.0,67.0,64.0,20.0,38.0,21.0,31.0,1.95,1.97,True
176.0,133.0,122.0,160.0,140.0,11.0,12.0,70.0,59.0,7.0,78.0,27.0,58.0,1.53,1.07,False
200.0,150.0,136.0,194.0,160.0,9.0,11.0,68.0,70.0,7.0,78.0,25.0,55.0,1.92,1.28,True
40.0,16.0,25.0,40.0,60.0,10.0,10.0,50.0,31.0,14.0,74.0,37.0,69.0,0.88,0.93,False
53.0,31.0,25.0,56.0,58.0,17.0,11.0,50.0,29.0,18.0,82.0,38.0,73.0,1.06,0.64,False
58.0,25.0,39.0,66.0,70.0,8.0,14.0,15.0,25.0,47.0,59.0,48.0,52.0,0.62,0.76,False
56.0,33.0,29.0,61.0,46.0,16.0,24.0,19.0,26.0,43.0,50.0,37.0,42.0,0.82,0.82,False
49.0,8.0,66.0,49.0,103.0,10.0,21.0,20.0,48.0,51.0,42.0,46.0,46.0,0.55,1.97,True
40.0,11.0,78.0,40.0,134.0,50.0,28.0,17.0,49.0,52.0,62.0,46.0,46.0,1.48,1.65,True
46.0,32.0,24.0,37.0,34.0,7.0,7.0,33.0,23.0,41.0,123.0,72.0,107.0,0.53,0.45,False
153.0,117.0,63.0,178.0,98.0,27.0,27.0,94.0,55.0,8.0,82.0,25.0,68.0,1.48,0.93,True
80.0,31.0,100.0,110.0,159.0,10.0,22.0,42.0,65.0,35.0,59.0,24.0,49.0,0.67,1.28,False
144.0,110.0,104.0,179.0,164.0,23.0,22.0,67.0,58.0,16.0,76.0,22.0,63.0,1.4,1.16,False
86.0,48.0,82.0,121.0,144.0,13.0,24.0,58.0,59.0,18.0,80.0,21.0,61.0,0.95,1.25,False
163.0,124.0,79.0,176.0,122.0,35.0,23.0,76.0,52.0,8.0,75.0,21.0,66.0,1.34,1.3,True
161.0,123.0,75.0,206.0,128.0,19.0,20.0,80.0,57.0,11.0,81.0,23.0,68.0,1.42,0.9,False
98.0,73.0,27.0,122.0,56.0,13.0,9.0,62.0,29.0,21.0,85.0,52.0,76.0,1.31,0.66,False
138.0,105.0,59.0,157.0,104.0,35.0,17.0,79.0,53.0,11.0,76.0,28.0,68.0,1.38,0.9,True
149.0,114.0,80.0,153.0,116.0,19.0,18.0,90.0,57.0,9.0,67.0,22.0,57.0,1.34,1.1,False
86.0,64.0,76.0,118.0,112.0,18.0,22.0,49.0,51.0,37.0,72.0,31.0,62.0,0.92,1.0,False
88.0,65.0,30.0,106.0,67.0,13.0,12.0,63.0,55.0,24.0,76.0,22.0,61.0,1.18,0.88,False
61.0,44.0,19.0,64.0,34.0,7.0,5.0,26.0,15.0,57.0,90.0,76.0,85.0,0.72,0.38,False
86.0,61.0,79.0,122.0,132.0,20.0,31.0,52.0,59.0,25.0,76.0,25.0,60.0,0.88,1.23,True
58.0,41.0,43.0,43.0,52.0,11.0,12.0,16.0,18.0,44.0,102.0,46.0,76.0,0.8,0.68,False
56.0,40.0,32.0,51.0,47.0,12.0,12.0,36.0,24.0,65.0,120.0,94.0,109.0,0.8,0.69,True
123.0,93.0,65.0,105.0,73.0,26.0,11.0,37.0,30.0,29.0,151.0,90.0,131.0,1.02,0.85,True
85.0,63.0,50.0,97.0,82.0,28.0,19.0,29.0,23.0,41.0,123.0,70.0,107.0,1.0,0.9,True
40.0,28.0,37.0,36.0,49.0,8.0,9.0,27.0,29.0,25.0,100.0,43.0,85.0,0.68,0.78,False
47.0,33.0,38.0,34.0,52.0,8.0,9.0,19.0,23.0,66.0,121.0,80.0,111.0,0.87,0.93,False
59.0,42.0,36.0,62.0,49.0,6.0,6.0,58.0,39.0,20.0,107.0,46.0,83.0,1.1,1.0,False
114.0,86.0,63.0,101.0,82.0,13.0,12.0,52.0,47.0,37.0,92.0,65.0,80.0,0.93,0.8,False
53.0,37.0,32.0,52.0,49.0,6.0,8.0,18.0,26.0,42.0,82.0,61.0,72.0,0.93,0.93,False
69.0,50.0,49.0,75.0,61.0,11.0,12.0,38.0,26.0,29.0,135.0,71.0,117.0,1.05,0.9,True
